Empirical likelihood confidence intervals for response mean with data missing at random||LIUGEN XUE
Diphosphine probe molecules and solid-state NMR investigations of proximity between acidic sites in zeolite HY||Luming Peng,Clare P. Grey
Soil organic carbon stocks in China and changes from 1980s to 2000s||XIE ZUBIN,ZHU JIANGUO,LIU GANG,CADISCH GEORG,HASEGAWA TOSHIHIRO
Rainfall-runoff relations for karstic springs. Part I: convolution and spectral analyses||Labat D,Ababou R,Mangin A
Toward improved identification of hydrological models: A diagnostic evaluation of the “abcd” monthly water balance model for the conterminous United States||Martinez Guillermo F,Gupta Hoshin V
A novel dispersal algorithm in individual-based, spatially-explicit Population Viability Analysis: A new role for genetic measures in model testing||Mark R. Lethbridge,Jessica C. Strauss
Ammonia may play an important role in the succession of cyanobacterial blooms and the distribution of common algal species in shallow freshwater lakes||Guo-Zheng Dai,Jin-Long Shang,Bao-Sheng Qiu
The effect of pressure on sulphur speciation in mid-to deep-crustal arc magmas and implications for the formation of porphyry copper deposits||Vladimir Matjuschkin,Jon D. Blundy
Global continental and ocean basin reconstructions since 200 Ma||M. Seton,R.D. Müller,S. Zahirovic,C. Gaina,T. Torsvik
Advances in mass spectrometric characterization of naphthenic acids fraction compounds in oil sands environmental samples and crude oil-a review||Headley JV,Peru KM,Barrow MP
Uncommon steranes in Brazilian marginal crude oils: Dinoflagellate molecular fossils in the Sergipe-Alagoas Basin, Brazil||Bruno Quirino Ara&uacute;jo,D&eacute;bora de Almeida Azevedo
Observations of the Mindanao Current during the western equatorial Pacific Ocean circulation study||Roger Lukas,Eric Firing,Peter Hacker,Philip L. Richardson,Curtis A. Collins
The mean structure and variability of the Mindanao Current at 8N||Susan Wijffels,Eric Firing,John Toole
Subtleties of human exposure and response to chemical mixtures from spills||Phetxumphou K,Dietrich AM,Shanaiah N,Smiley E,Gallagher DL
The importance of evaluating the physicochemical and toxicological properties of a contaminant for remediating environments affected by chemical incidents||Wyke S,PeñaFernández A,Brooke N,DuarteDavidson R
Gold and silver metallogeny of the South China Fold Belt: a consequence of multiple mineralizing events?||Franco Pirajno,Leon Bagas
Trace-element composition of hydrothermal zircon and the alteration of Hadean zircon from the Jack Hills, Australia||Paul W.O. Hoskin
Comparative Studies of the Petrochemistry of Sn–W-Mineralized Granitoids: Continent vs. Island Arc||Ishihara Shunso
Titanium Oxide Nanosheets: Graphene Analogues with Versatile Functionalities||Wang L,Sasaki T
Photocatalytic Reduction of CO2 on TiO2 and Other Semiconductors||Habisreutinger SN,SchmidtMende L,Stolarczyk JK
Progress in bismuth vanadate photoanodes for use in solar water oxidation||Park Y,McDonald KJ,Choi KS
Electrochemical Synthesis of Photoelectrodes and Catalysts for Use in Solar Water Splitting||Kang D,Kim TW,Kubota SR,Cardiel AC,Cha HG
The global cryosphere: past, present and future||Frederick E. Nelson
Observed changes in pan-arctic cold-season minimum monthly river discharge||Asa K. Rennermalm,Eric F. Wood,Tara J. Troy
A review of the challenges in the chemical analysis of the polybrominated diphenyl ethers||Anne P. Vonderheide
Recent Trends in IJGISc||Brian Lees
Examine urban expansion from remote sensing and GIS a case study in Beijing||Yichun XIE,Zuojiang FAN
On a possible parent crater for Australasian tektites: Geochemical, isotopic, geographical and other constraints||Jiří Mizera,Zdeněk Řanda,Jan Kameník
Drylands extent and environmental issues. A global approach||Remus Pravalie
The environmental significance of ventifacts: A critical review||Jasper Knight
Molecular evidence for Pleistocene refugia at the eastern edge of the Tibetan Plateau||XIANGJIANG ZHAN †,YIFANG ZHENG †,FUWEN WEI,MICHAEL W. BRUFORD ‡,CHENXI JIA ‡
Strengthening the link between geochronology, textures and petrology||Wolfgang Müller
Recent advances in nanoelectrode architecture for photochemical hydrogen production||Hyung Gyu Park) Institute of Energy Technology Department of Mechanical and Process Engineering Swiss Federal Institute of Technology (ETH,Jason K. Holt
Graphitic Carbon Nitride (g-C3N4)-Based Photocatalysts for Artificial Photosynthesis and Environmental Remediation: AreWe a Step Closer To Achievin Sustainability||WeeJun Ong,LlingLling Tan,Yun Hau Ng,SiekTing Yong,SiangPiao Chai
Two-dimensional covalent carbon nitride nanosheets: synthesis, functionalization, and applications||Jinshui Zhang,Yan Chen,Xinchen Wang
Elucidation of intermediates and mechanisms in heterogeneous catalysis using infrared spectroscopy||Savara A,Weitz E
Nature and significance of the Early Cretaceous giant igneous event in eastern China||Fu-Yuan Wu,Jing-Qian Lin,Simon A. Wilde,Xiao'Ou Zhang,Jin-Hui Yang
Early Cretaceous volcanism in the northern Songliao Basin, NE China, and its geodynamic implication||F.Q. Zhang,H.L. Chen,X. Yu,C.W. Dong,S.F. Yang
Giant Mesozoic gold provinces related to the destruction of the North China craton||Jian-Wei Li,Shi-Jian Bi,David Selby,Lei Chen,Paulo Vasconcelos
Ceria-based catalysts for low-temperature selective catalytic reduction of NO with NH3||Changjin Tang,Hongliang Zhang,Lin Dong
Mechanism of arsenic poisoning on SCR catalyst of CeW/Ti and its novel efficient regeneration method with hydrogen||Xiang Li,Junhua Li,Yue Peng,Huazhen Chang,Tao Zhang
Flame-made WO3/CeOx-TiO2 catalysts for selective catalytic reduction of NOx by NH3||Katarzyna Anna MichalowMauke,Ye Lu,Kazimierz Kowalski,Thomas Graule,Maarten Nachtegaal
Development of a detailed surface mechanism for the selective catalytic reduction of NOx with ethanol on silver alumina catalyst||Yuk Fai Tham,J.-Y. Chen,Robert W. Dibble
Catalytic NOx abatement systems for mobile sources: From three-way to lean burn after-treatment technologies||Pascal Granger,Vasile I. Parvulescu
Zircon U-Pb and Hf isotopic constraints on the onset time of India-Asia Collision||Fu-Yuan Wu,Wei-Qiang Ji,Jian-Gang Wang,Chuan-Zhou Liu,Sun-Lin Chung
Indian Ocean Circulation and climate variability||Schott Friedrich A,Xie Shang‐Ping,McCreary Julian P
The dynamics of zonal current variations in the central equatorial Indian Ocean||Nagura Motoki,McPhaden Michael J
A diagnostic calculation of the circulation in the upper and middle layers of the Luzon Strait and the northern South China Sea during March 1992||Malinowska K,Modranka R,Kubiak K,Klimczak A,Mrowicka M
Effect of climate change over the past half century on the distribution, extent and NPP of ecosystems of Inner Mongolia||ZHANG GUOGANG,KANG YUMEI,HAN GUODONG,SAKURAI KATSUTOSHI
Human population distribution modelling at regional level using very high resolution satellite imagery||Tobias Lung,Tillmann Lübker,James K. Ngochoch,Gertrud Schaab
Source–sink communication: regulated by hormone, nutrient, and stress cross-signaling||Yu SM,Lo SF,Ho TD
Profiling of phenylpropanoids in transgenic low-sinapine oilseed rape  (Brassica napus)||Karina Wolfram,Jürgen Schmidt,Victor Wray,Carsten Milkowski,Willibald Schliemann
Shaping a better rice plant||Springer N
Crop genetics: Resequencing sows the seeds||Flintoft L
Genonics and the contrasting dynamics of annual and perennial domestication||Gaut BS,Díez CM,Morrell PL
Biotechnology offers revolution to ?sh health management||Adams A,Thompson KD
Immunoproteomically identified GBAA_0345, alkyl hydroperoxide reductase subunit C is a potential target for multivalent anthrax vaccine||Kim YH,Kim KA,Kim YR,Choi MK,Kim HK
The outer membrane protein OmpW forms an eight-stranded β- barrel with a hydrophobic channel||Heedeok Hong,Dimki R. Patel,Lukas K. Tamm,Bert van den Berg
On the front line: structural insights into plant–pathogen interactions||Wirthmueller L,Maqbool A,Banfield MJ
Effects of Creatine Monohydrate Augmentation on Brain Metabolic and Network Outcome Measures in Women With Major Depressive Disorder.||Yoon S,Kim JE,Hwang J,Kim TS,Kang HJ
西藏自治区湿地保护分区布局探讨||桂来庭,罗怀斌,张铁平
Intraspecific competition and fungal diseases as sources of variation in sunflower yield||V.O. Sadras,N. Trápani,V.R. Pereyra,M. López Pereira,F. Quiroz
Histone lysine demethylases as targets for anticancer therapy.||Højfeldt JW,Agger K,Helin K
Advances and challenges in understanding histone demethylase biology.||Nowak RP,Tumber A,Johansson C,Che KH,Brennan P
Molecular mechanisms and potential functions of histone demethylases.||Kooistra SM,Helin K
Functions and Regulation of Programmed Cell Death in Plant Development||Daneva A,Gao Z,Van Durme M,Nowack MK
Sugar modification inhibits autophagosome-lysosome fusion||Mizushima N
De novo mutations in the autophagy gene WDR45 cause static encephalopathy of childhood with neurodegeneration in adulthood||Saitsu H; Nishimura T; Muramatsu K; Kodera H; Kumada S; Sugai K; Kasai-Yoshida E; Sawaura N; Nishida H; Hoshino A; Ryujin F; Yoshioka S; Nishiyama K; Kondo Y; Tsurusaki Y; Nakashima M; Miyake N; Arakawa H; Kato M; Mizushima N; Matsumoto N
Can the War on Locusts Be Won?||Martin Enserink
Locust Phase Polyphenism: An Update||Pener MeirPaul,Simpson StephenJ
Noncoding RNAs and myocardial fibrosis||Thomas Thum
FOXOs: signalling integrators for homeostasis maintenance||Eijkelenboom A,Burgering BM
Cytosolic FoxO1: alive and killing||Medema RH,Jäättelä M
A Werner syndrome stem cell model unveils heterochromatin alterations as a driver of human aging||Zhang W,Li J,Suzuki K,Qu J,Wang P
Mechanisms of drug release in nanotherapeutic delivery systems||Wong PT,Choi SK
Dendrimer space concept for innovative nanomedicine: A futuristic vision for medicinal chemistry||Serge Mignani,Saïd El Kazzouli,Mosto Bousmina,Jean-Pierre Majoral
Eradication of CD44-variant positive population in head and neck tumors through controlled intracellular navigation of cisplatin-loaded nanomedicines||Ming Wang,Yutaka Miura,Kenji Tsuchihashi,Kazuki Miyano,Osamu Nagano
Cardiovascular biology: heart fails without pump partner||Shenoy SK,Rockman HA
Nonviral vector-mediated RNA interference: its gene silencing characteristics and important factors to achieve RNAi-based gene therapy.||Takahashi Y,Nishikawa M,Takakura Y
Deciphering the epigenetic network in colorectal cancer||Gemma Domínguez
Interactions between innate and adaptive lymphocytes||Gasteiger G,Rudensky AY
Tissue residency of innate lymphoid cells in lymphoid and nonlymphoid organs||Georg Gasteiger,Xiying Fan,Stanislav Dikiy,Sue Y. Lee,Alexander Y. Rudensky
No cohesion for cohesin's role||Sarah Seton-Rogers
The delivery of therapeutic oligonucleotides||Juliano RL
Tumor delivery of antisense oligomer using trastuzumabwithin a streptavidin nanoparticle.||Yi Wang,Xinrong Liu,Ling Chen
Intramolecular Donor-Acceptor Cyclopropane Ring-Opening Cyclizations.||Cavitt MA,Phun LH,France S
Catalytic Asymmetric Synthesis of Pyrroloindolines via a Rhodium(II)-Catalyzed Annulation of Indoles.||Jillian E. Spangler,Huw M. L. Davies
Bioinorganic chemistry of Alzheimer's disease||Kepp KP
Neuroscience： Spotlight on deep-brain stimulation||Benabid AL
Effects of metabolic syndrome on masseter muscle of male Wistar rats||H Can Tükel,?zlem Alptekin,Belma Turan,Ertan Delilba??
Recent Advances in Cell Sheet Technology for Periodontal Regeneration||Wang J,Zhang R,Shen Y,Xu C,Qi S
Pharmacological investigations on cross adaptation in mice subjected to stress immobilization||Chauhan E,Bali A,Singh N,Singh Jaggi A
Role of nanostructured biopolymers and bioceramics in enamel, dentin and periodontal tissue regeneration||S. Sowmya,Joel D. Bumgardener,Krishna Prasad Chennazhi,Shantikumar V. Nair,R. Jayakumar
Aluminium chloride impairs long-term memory and downregulates cAMP-PKA-CREB signalling in rats||Zhang L,Jin C,Lu X,Yang J,Wu S
Nanotechnology-Based Drug Delivery Systems for Targeting, Imaging and Diagnosis of Neurodegenerative Diseases||Pehlivan SB
Oxidative stress and mitochondrial dysfunction in aluminium neurotoxicity and its amelioration: A review||Kumar V,Gill KD
The rhizome of Gastrodiaelata Blume – An ethnopharmacological review||Zhan HD,Zhou HY,Du XL,Sui YP,Wang WH
Integrated online virtual metrology and fault detection in plasma etch tools||Bo Lu,John Stuber,Thomas F. Edgar
Reliability modeling and life estimation using an expectation maximization based Wiener  degradation model for momentum wheels||Hong Li,Donghui Pan,C. L. Philip Chen
Improved PLS focused on key-performance-indicator-related fault diagnosis||Shen Yin,Xiangping Zhu,Okyay Kaynak
Delay-dependent robust stability and L2-gain analysis of a class of nonlinear time-delay systems||Coutinho Daniel F,de Souza Carlos E
New results on stabilization of Markovian jump systems with time delay||Zhongyang Fei,Huijun Gao,Peng Shi
Novel results on generalized dissipativity of two-dimensional digital filters||Choon Ki Ahn,Peng Shi,Hamid Reza Karimi
Extended dissipative analysis for neural networks with time-varying delays||Lee TH,Park MJ,Park JH,Kwon OM,Lee SM
Robust Novelty Detection via Worst Case CVaR Minimization||Wang Y,Dang C,Wang S
Dynamic surface control using neural networks for a class of uncertain nonlinear systems with input saturation||Chen M,Tao G,Jiang B
Improved results on statistic information control with a dynamic neural network identifier||Yang Yi,Wei Xing Zheng,Lei Guo
Approximation-based adaptive tracking control for MIMO nonlinear systems with input saturation||Zhou Q,Shi P,Tian Y,Wang M
Network-induced constraints in networked control systems-a survey||Lixian Zhang,Huijun Gao,Okyay Kaynak
Improvement of state feedback controller design for networked control systems||Bin Tang,Guo-Ping Liu,Wei-Hua Gui
Recent advances on fuzzy-model-based nonlinear networked control systems:a survey||Jianbin Qiu,Huijun Gao,Steven X. Ding) Institute for Automatic Control and Complex Systems (AKS
On improved robust stabilization of uncertain systems with unknown input delay||Chen Wu-Hua,Zheng Wei Xing
Adaptive Stabilization and Synchronization for Chaotic Lur’e Systems With Time-Varying Delay||Jianquan Lu,Jinde Cao,Daniel W. C. Ho
Survey on data-driven industrial process monitoring and diagnosis||S. Joe Qin
Monitoring for Nonlinear Multiple Modes Process Based on LL-SVDD-MRDA||Wenli Du,Ying Tian,Feng Qian
Injection Molding Quality Control by Integrating Weight Feedback into a Cascade Closed-Loop Control System||Zhongbao Chen,Lih-Sheng Turng
Quality control using a multivariate injection molding sensor||Guthrie Gordon,David O. Kazmer,Xinyao Tang
Manipulation of terahertz radiation using metamaterials||H.-T. Chen,J.F. O'Hara,A.K. Azad,A.J. Taylor
Review on advances in porous nanostructured nickel oxides and their composite electrodes for high-performance supercapacitors||Md Moniruzzaman Sk,Chee Yoon Yue,Kalyan Ghosh,Rajeeb Kumar Jena
Histone deacetylase inhibitors (HDACIs). Structureuactivity relationships: history and new QSAR perspectives||Pontiki Eleni,Hadjipavlou‐Litina Dimitra
From heuristic optimization to dictionary learning: a review and comprehensive comparison of image denoising algorithms||Ling Shao,Ruomei Yan,Xuelong Li,Yan Liu
Sparse representation for range data restoration||Mahmoudi M,Sapiro G
Bellwether Analysis: Searching for Cost-Effective Query-Defined Predictors in Large Databases||Chen Bee-Chung,Ramakrishnan Raghu,Shavlik Jude W,Tamma Pradeep
Observer-based synchronization for a class of fractional chaotic systems via a scalar signal: Results involving the exact solution of the error dynamics||DONATO CAFAGNA,GIUSEPPE GRASSI
Hyperchaos in the fractional-order Rossler system with lowest-order||DONATO CAFAGNA,GIUSEPPE GRASSI
ZnO Multipods, Submicron Wires, and Spherical Structures and Their Unique Field Emission Behavior||Niranjan S. Ramgir †,Dattatray J. Late ‡,Ashok B. Bhise ‡,Mahendra A. More ‡,Imtiaz S. Mulla †
Probing the Optical Property and Electronic Structure of TiO2 Nanomaterials for Renewable Energy Applications||Kapilashrami M,Zhang Y,Liu YS,Hagfeldt A,Guo J
Learning from more than one data source: data fusion techniques for sensorimotor rhythm-based brain-computer interfaces||Siamac Fazli,Sven Dähne,Wojciech Samek,Felix Bießmann,Klaus-Robert Müller
Brain-computer interface after nervous system injury||Burns A,Adeli H,Buford JA
Learning fuzzy rules from fuzzy samples based on rough set technique||Xizhao Wang,Eric C.C. Tsang,Suyun Zhao,Degang Chen,Daniel S. Yeung
Engineering change: an overview and perspective on the literature||T. A. W. Jarratt,C. M. Eckert,N. H. M. Caldwell
RFID-enabled track and traceability in job-shop scheduling environment||Jongsawas Chongwatpol,Ramesh Sharda
Scalability in manufacturing systems design and operation: State-of-the-art and future developments roadmap||G. Putnik,A. Sluga,H. ElMaraghy,R. Teti,Y. Koren
The application of an artificial immune system-based back-propagation neural network with feature selection to an RFID positioning system||R. J. Kuo,M. C. Shieh,J. W. Zhang,K. Y. Chen
White Organic Light Emitting Diodes||R. Coehoorn,H. Boerner
Nanocrystallized Organic Thin Films as Effective Light Outcoupling Layers for Organic Light-Emitting Diodes||Chen Shuming,Kwok Hoi‐Sing
Validating ajax applications using a delay-based mutation technique||Maezawa Yuta,Nishiura Kazuki,Washizaki Hironori,Honiden Shinichi
New conditions for global exponential stability of cellular neural networks with delays||Zhao H,Cao J
Two-Stage Orthogonal Least Squares Methods for Neural Network Construction||Zhang L,Li K,Bai EW,Irwin GW
A novel strategy for solving the stochastic point location problem using a hierarchical searching scheme||Yazidi A,Granmo OC,John Oommen B,Goodwin M
Recovery of rectified signals from hotwire/film anemometers due to flow reversal in oscillating flows||Yingchen Yang,Jones D.L,Chang Liu
Neural controller design-based adaptive control for nonlinear MIMO systems with unknown hysteresis inputs||Liu YJ,Tong S,Chen CL,Li DJ
公开评价||
The exterior matrix method for sequentially coupled fourth-order equations||William H. Paulsen
Building a low-energy transparent optical wide area network with "multipaths"||Davide Cuda,Raluca-Maria Indre,Esther Le Rouzic,James Roberts
Exploiting wireless connectivity for robustness in WOBAN||Thota S,Bhaumik P,Chowdhury P,Mukherjee B,Sarkar S
Neural network control of resistive wall modes in tokamaks||Sun Z,Sen A.K
Improved free-weighting matrix approach for stability analysis of discrete-time recurrent neural networks with time-varying delay||Min Wu,Fang Liu,Peng Shi,Yong He,Ryuichi Yokoyama
Lagrange programming neural network for nondifferentiable optimization problems in sparse approximation||Ruibin Feng,Chi-Sing Leung,Anthony G. Constantinides,Wen-Jun Zeng
Nonlinear dynamic matrix control based on multiple operating models||Zhong Zhao,Xiaohua Xia,Jingchun Wang,Jian Gu,Yihui Jin
Nanoparticles meet electrospinning: recent advances and future prospects||Zhang CL,Yu SH
Preparation of antimicrobial ultrafine cellulose acetate fibers with silver nanoparticles||Son Won Keun,Youk Ji Ho,Lee Taek Seung,Park Won Ho
Phase separation in metallic glasses||D.H. Kim,W.T. Kim,E.S. Park,N. Mattern,J. Eckert
Relationship between structure,dynamics, and mechanical properties in metallic glass-forming alloys||Cheng Y. Q,Sheng H. W,Ma E
Electronic structure inheritance and pressure-induced polyamorphism in Lanthanide-based metallic glasses||Li G,Wang YY,Liaw PK,Li YC,Liu RP
Glass forming ability and short-range order in a binary bulk metallic glass by ab initio molecular dynamics||Jakse N,Pasturel A
Metallization and nanostructuring of semiconductor surfaces by galvanic displacement processes||Carlo Carraro,Roya Maboudian,Luca Magagnin
Opportunities in nanometer sized Si wires for PV applications||Jaswinder Kaur Mann,Rufi Kurstjens,Geoffrey Pourtois,Melina Gilbert,Frederic Dross
Bio-inspired photonic crystals with superwettability||Kuang M,Wang J,Jiang L
Highly Stable and Active Pt-Cu Oxygen Reduction Electrocatalysts Based on Mesoporous Graphitic Carbon Supports||Gaurav Gupta,Daniel A. Slanac,Pavan Kumar,Jaclyn D. WigginsCamacho,Xiqing Wang
Structural variation and water adsorption of a SnO2 coated carbon nanotube: a nanoscale chemical imaging study||Jigang Zhou,Jian Wang,Haitao Fang,TsunKong Sham
Critical dependence of magnetostructural coupling and magnetocaloric effect on particle size in Mn-Fe-Ni-Ge compounds||Wu R,Shen F,Hu F,Wang J,Bao L
Metal–organic framework composites||Zhu QL,Xu Q
An overview of electrode materials in microbial fuel cells||Minghua Zhou,Meiling Chi,Jianmei Luo,Huanhuan He,Tao Jin
Preparation,thermal properties and applications of shape-stabilized thermal energy storage materials||Guiyin Fang,Fang Tang,Lei Cao
TiO2-based superhydrophobic–superhydrophilic pattern with an extremely high wettability contrast||Shunsuke Nishimoto,Michiaki Becchaku,Yoshikazu Kameshima,Yuki Shirosaki,Satoshi Hayakawa
Implantation of nanomaterials and nanostructures on surface and their applications||Chunli Bai,Minghua Liu
Development of functional nanostructures and their applications in catalysis and solar cells.||Zhenhe Xu,Yanlong Liu,Fuqiang Ren,Fan Yang,Dongling Ma
Friction stir casting modification for enhanced structural efficiency||Saumyadeep Jana,Rajiv Mishra,Glenn Grant
