Efficiency bounds for missing data models with semiparametric restrictions||Bryan S. Graham
Combinatorial Optimization: Polyhedra and Efficiency||
On the equivalence between the primal-dual schema and the local ratio technique||
A comparative analysis of biclustering algorithms for gene expression data||Eren Kemal,Deveci Mehmet,Küçüktunç Onur,Çatalyürek Ümit V
Partition decoupling for multi-gene analysis of gene expression profiling data||Rosemary Braun,Gregory Leibon,Scott Pauls,Daniel Rockmore
A new method of finding groups of coexpressed genes and conditions of coexpression||Anand R,Ravichandran S,Chatterjee S
cMonkey2: Automated, systematic, integrated detection of co-regulated gene modules for any organism||David J. Reiss,Christopher L. Plaisier,WeiJu Wu,Nitin S. Baliga
A fast direct solver for high frequency scattering from a large cavity in two dimensions||Jun Lai,Sivaram Ambikasaran,Leslie F. Greengard
Increasing stability in an inverse problem for the acoustic equation||Sei Nagayasu,Gunther Uhlmann,Jenn-Nan Wang
Zbmath review||
A mathematical theory of super-resolution by using a system of sub-wavelength Helmholtz resonators||Habib Ammari,Hai Zhang
Adaptive eigenspace method for inverse scattering problems in the frequency domain||Marcus J Grote,Marie Kray,Uri Nahum
h - p finite element approximation for full-potential electronic structure calculations||Yvon Maday
Locally refined multigrid solution of the all-electron Kohn–Sham equation||Or Cohen,Leeor Kronik,Achi Brandt
Utilization of inverse approach in the design of materials over nano- to macro-scale||Vladan Mlinar
Wave packet analysis of Schr?dinger equations inanalytic function spaces||Elena Cordero,Fabio Nicola,Luigi Rodino
Estimates on modulation spaces for Schr?dinger evolution operators with quadratic and sub-quadratic potential||Keiichi Kato,Masaharu Kobayashi,Shingo Ito
Functions operating on modulation spaces and nonlinear dispersive equations||Divyang G. Bhimani,P.K. Ratnakumar
Phase space analysis of semilinear parabolic equations||Fabio Nicola
Navier–Stokes equations and nonlinear heat equations in modulation spaces with negative derivative indices||Tsukasa Iwabuchi
Inclusion relations between L p  -Sobolev and Wiener amalgam spaces||
Changes of variables in modulation and Wiener amalgam spaces||Michael Ruzhansky,Mitsuru Sugimoto,Joachim Toft,Naohito Tomita
Multiplication and Composition in Weighted Modulation Spaces||Reich Maximilian,Sickel Winfried
Math Review MR2775628||
Advances in algebraic geometry codes||T. Hoholdt
Extract correlations||
Non malleable codes||
Finite Fields: Theory and Computation||Shparlinski Igor E
Sparse-graph codes for quantum error correction||
The art of signaling: Fifty years of coding theory||
Rational Homotopy Theory||
Backward Stochastic Differential Equations, Nonlinear Expectaion and Their Applications||
Mathematical Reviews Item Number MR1982735 (2004d:49072)||
Well posedness of operator valued backward stochastic Riccati equations in infinite dimensional spaces||Giuseppina Guatteri,Gianmario Tessitore
Backward stochastic differential equations and integral-partial differential equations||Guy Barles,Rainer Buckdahn,Etienne Pardoux
Mathematical Reviews Item Number MR2550365 (2011f:60110)||
Mathematical Reviews Item Number MR1972529 (2004a:93095)||
Mean-Variance Hedging and Stochastic Control: Beyond the Brownian Setting||O. Bobrovnytska,M. Schweizer
A stochastic linear–quadratic problem with L′evyprocesses and its application to finance||
Statistical Analysis of Profile Monitoring||
A Least Angle Regression Control Chart for Multidimensional Data||Giovanna Capizzi,Guido Masarotto
Profile Control Charts Based on Nonparametric L-1 Regression Methods||Wei Y,Zhao Z,Lin DK
A Variable-Selection-Based Multivariate EWMA Chart for Process Monitoring and Diagnosis||Wei Jiang,Kaibo Wang,Fugee Tsung
Surveillance of Nonhomogeneous Poisson Processes||Sarah C. Richards,William H. Woodall,Gregory Purdy
A Nonparametric Change-Point Control Chart||Douglas M. Hawkins,Qiqi Deng
Nonparametric (Distribution-Free) Quality Control Charts||Subha Chakraborti
Some Current Directions in the Theory and Application of Statistical Process Monitoring||William H. Woodall,Douglas C. Montgomery
LU-factorization versus Wiener-Hopf factorization for Markov chains||Vigon Vincent
Performance-based contracts for outpatient medical services||Jiang Houyuan,Pang Zhan,Savin Sergei
Decay rates for quasi-birth-and-death processes with countably many phases and tridiagonal block generators||Allan J. Motyer,Peter G. Taylor
Second-order Markov reward models driven by QBD processes||Bean Nigel G,O'Reilly Ma,Gorzata M,Ren Yong
Strategic customers in a transportation station: When is it optimal to wait?||Athanasia Manou,Antonis Economou,Fikri Karaesmen
Product-line competition: Customization vs. proliferation||Haim Mendelson,Ali K. Parlaktürk
Mathematical model for low-rate DoS attacks against application servers||Gabriel Macia-Fernandez,JesÚs E. Diaz-Verdejo,Pedro Garcia-Teodoro
Retrial Queueing Systems: A Computational Approach||J. R. Artalejo,Antonio GómezCorral
Polynomials having leading terms over C^2 in the Fock space||Izuchi Keiji,Izuchi Kou Hei
Operator theory in the Hardy space over the bidisk, III||Rongwei Yang
Unitary invariants for Hilbert modules of finite rank||Shibananda Biswas,Gadadhar Misra,Mihai Putinar
Quotients of standard Hilbert modules||William Arveson
Essential normality of polynomial-generated submodules: Hardy space and beyond||Quanlei Fang,Jingbo Xia
The mathematical legacy of William Arveson||Kenneth R. Davidson
Essential normality and the decomposability of homogeneous submodules||Kennedy Matthew
Properties of Beurling-type submodules via Agler decompositions||Kelly Bickel,Constanze Liaw
Singularity formation in chemotaxis— a conjecture of Nagai||
On Gevrey solutions of threefold singular nonlinear partial differential equations||Alberto Lastra,Stéphane Malek,Javier Sanz
Anisotropic hypoelliptic estimates for Landau-type operators||F. Hérau,K. Pravda-Starov
Entropy dissipation estimates for the Landau equation  in the Coulomb case and application||L. Desvillettes
Hypoelliptic estimates for a linear model of the Boltzmann equation without angular cutoff||Nicolas Lerner,Yoshinori Morimoto,Karel Pravda-Starov
Regularity of traveling periodic stratified water waves with vorticity||Ling-Jun Wang
Existence result for a class of semilinear totally characteristic hypoelliptic equations with conical degeneration||Mohsen Alimohammady,Morteza Koozehgar Kalleji
Capillary-gravity water waves with discontinuous vorticity: existence and regularity results||Anca-Voichita Matioc,Bogdan-Vasile Matioc
Candidates for Twin Chiral Bands in 102Rh||Tonev D,Yavahchova MS,Goutev N,de Angelis G,Petkov P
Attempt to produce element 120 in the 244Pu   58Fe reaction||Yu. Ts. Oganessian,V. K. Utyonkov,Yu. V. Lobanov,F. Sh. Abdullin,A. N. Polyakov
Giant neutron halos in the non-relativistic mean field approach||M. Grasso,S. Yoshida,N. Sandulescu,N. Van Giai
Relativistic Hartree-Fock-Bogoliubov model for deformed nuclei||J. P. Ebran,E. Khan,D. Pena Arteaga,D. Vretenar
Microscopic Calculations of Isospin-Breaking Corrections to Superallowed Beta Decay||Satuła W,Dobaczewski J,Nazarewicz W,Rafalski M
CKM unitarity normalization tests, present and future||John C. Hardy,Ian S. Towner
Isospin Asymmetry in the Pseudospin Dynamical Symmetry||Alberto P,Fiolhais M,Malheiro M,Delfino A,Chiapparini M
Relativistic symmetries in nuclei and hadrons||Joseph N. Ginocchio
Physical Properties and Environments of Nearby Galaxies||Michael R. Blanton,John Moustakas
The fossil phase in the life of a galaxy group||Alexander M. Von Benda-Beckmann,Elena D'Onghia,Stefan Gottlöber,Matthias Hoeft,Arman Khalatyan
Constraints on intragroup stellar mass from hostless Type Ia supernovae||Sean L. McGee,Michael L. Balogh
PRIMUS: Galaxy Clustering as a Function of Luminosity and Color at 0.2 < z < 1||
Galaxy Downsizing Evidenced by Hybrid Evolutionary Tracks||C. Firmani,V. AvilaReese
Astrophysics in 2006||
Galaxy And Mass Assembly (GAMA): testing galaxy formation models through the most massive galaxies in the Universe||P. OlivaAltamirano,S. Brough,C. Lidman,W. J. Couch,A. M. Hopkins
Cross-Correlation Lensing: Determining Galaxy and Cluster Mass Profiles from Statistical Weak-Lensing Measurements||David E. Johnston,Erin S. Sheldon,Argyro Tasitsiomi,Joshua A. Frieman,Risa Wechsler
Half-Quantum Vortices in an Antiferromagnetic Spinor Bose-Einstein Condensate||Sredzińska K,Galicka A,Brzóska MM,Gindzieński A
Collisional Dynamics of Half-Quantum Vortices in a Spinor Bose-Einstein Condensate||Seo SW,Kwon WJ,Kang S,Shin Y
Spinor Bose–Einstein condensates||Yuki Kawaguchi,Masahito Ueda
Motional Dressed States in a Bose-Einstein Condensate: Superfluidity at Supersonic Speed||Law CK,Chan CM,Leung PT,Chu M
Interferences in the density of two Bose-Einstein Condensates consisting of identical or different atoms||L. S. Cederbaum,A. I. Streltsov,Y. B. Band,O. E. Alon
Solitons in nonlinear lattices||
Propagation Dynamics of a Light Beam in a Fractional Schr?dinger Equation||Yiqi Zhang,Xing Liu,Milivoj R. Belić,Weiping Zhong,Yanpeng Zhang
Coherent delocalization of atomic wave packets in driven lattice potentials||Ivanov VV,Alberti A,Schioppo M,Ferrari G,Artoni M
Flat optics with designer metasurfaces||Yu N,Capasso F
Controlled steering of Cherenkov surface plasmon wakes with a one-dimensional metamaterial||Patrice Genevet,Daniel Wintz,Antonio Ambrosio,Alan She,Romain Blanchard
Terahertz metamaterials for linear polarization conversion and anomalous refraction||Grady NK,Heyes JE,Chowdhury DR,Zeng Y,Reiten MT
Diodelike asymmetric transmission of linearly polarized waves using magnetoelectric coupling and electromagnetic wave tunneling||Mutlu M,Akosman AE,Serebryannikov AE,Ozbay E
Broadband Focusing Flat Mirrors Based on Plasmonic Gradient Metasurfaces||Pors A,Nielsen MG,Eriksen RL,Bozhevolnyi SI
Analog Computing Using Reflective Plasmonic Metasurfaces||Anders Pors,Michael Grøndahl Nielsen,Sergey I Bozhevolnyi
Robust multispectral transparency in continuous metal film structures via multiple near-field plasmon coupling by a finite-difference time-domain method||Liu GQ,Hu Y,Liu ZQ,Chen YH,Cai ZJ
Wave–matter interactions in epsilon-and-mu-near-zero structures||Mahmoud AM,Engheta N
Synopsis: Dirt and geometry insulate electrons||
Theory of the Topological Anderson Insulator||Groth CW,Wimmer M,Akhmerov AR,Tworzydło J,Beenakker CW
The birth of topological insulators||Joel E. Moore
Interplay between ferromagnetism, surface states, and quantum corrections in a magnetically doped topological insulator||Duming Zhang,Anthony Richardella,David W. Rench,SuYang Xu,Abhinav Kandala
Manifestation of Topological Protection in Transport Properties of Epitaxial Bi2Se3 Thin Films||Taskin AA,Sasaki S,Segawa K,Ando Y
Competing Weak Localization and Weak Antilocalization in Ultrathin Topological Insulators||Lang M,He L,Kou X,Upadhyaya P,Fan Y
Unexpected mass acquisition of Dirac fermions at the quantum phase transition of a topological||T. Sato,Kouji Segawa,K. Kosaka,S. Souma,K. Nakayama
Detection of Berry’s Phase in a Bulk Rashba Semiconductor||Murakawa H,Bahramy MS,Tokunaga M,Kohama Y,Bell C
Folding Alphabets||
Designing Protein Energy Landscapes||
Coordination Properties of Zinc Finger Peptides Revisited: Ligand Competition Studies Reveal Higher Affinities for Zinc and Cobalt||Sénèque O,Latour JM
Are Classical Molecular Mechanics Calculations Still useful in Bioinorganic Simulations?||Marc Zimmer
DNA Damage and the Balance between Survival and Death in Cancer  Biology||Roos WP,Thomas AD,Kaina B
Another Fork in the Road -- Life or Death Decisions by the Tumour Suppressor p53||Carvajal LA,Manfredi JJ
Local Homology Recognition and Distance Measure in Linear Time using Compressed Amino Acid Alphabets||Robert C. Edgar
Folding of a Heterogeneous Beta-Hairpin Peptide from Temperature-Jump 2D IR Spectroscopy||Jones KC,Peng CS,Tokmakoff A
The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides||David C. Johnston
In-plane electronic anisotropy of underdoped ‘122’ Fe- arsenide superconductors revealed by measurements of detwinned single crystals||I. R. Fisher,L. Degiorgi,Z. X. Shen
Fermi Surface Topology and Low-Lying Quasiparticle Dynamics of Parent Fe1 xTe/Se Superconductor||Y. Xia,D. Qian,L. Wray,D. Hsieh,G. F. Chen
Superconductivity in iron compounds||
Neutron-Diffraction Measurements of an Antiferromagnetic Semiconducting Phase in the Vicinity of the High- Temperature Superconducting State of KxFe2ySe2||Jun Zhao,Huibo Cao,E. Bourret-Courchesne,D.-H. Lee,R. J. Birgeneau
Iron superconductivity weathers another storm||Mazin Igor
Colloquium: The unexpected properties of alkali metal iron selenide superconductors||Elbio Dagotto
Spectroscopic scanning tunneling microscopy insights into Fe- based superconductors||Jennifer E. Hoffman
Memristive devices for computing||
Physical aspects of ferroelectric semiconductors for photovoltaic solar energy conversion||Pilar Lopez-Varo,Luca Bertoluzzi,Juan Bisquert,Marin Alexe,Mariona Coll
Multiferroic oxide thin films and heterostructures||Chengliang Lu,Weijin Hu,Yufeng Tian,Tom Wu
Atomic layer deposition of perovskite oxides and their epitaxial integration with Si, Ge, and other semiconductors||Martin D. McDaniel,Thong Q. Ngo,Shen Hu,Agham Posadas,Alexander A. Demkov
Ferroelectric Instability Under Screened Coulomb Interactions||Wang Y,Liu X,Burton JD,Jaswal SS,Tsymbal EY
Spintronic Functionality of BiFeO3 Domain Walls||Lee JH,Fina I,Marti X,Kim YH,Hesse D
Direct Probing of Nanodimensioned Oxide Multilayers with the Aid of Focused Ion Beam Milling||Yener Kuru,Helia Jalili,Zhuhua Cai,Bilge Yildiz,Harry L. Tuller
Unusual thermodynamic properties and nonergodicity in ferroelectric superlattices||Kornev IA,Bellaiche L
Triangulating the Galaxy||James J. Binney
Understanding our Galaxy - key contributions from the Parkes telescope||J. L. Caswell
The Spiral Structure of the Outer Milky Way in Hydrogen||Levine ES,Blitz L,Heiles C
New Velocimetry and Revised Cartography of the Spiral Arms in the Milky Way---A Consistent Symbiosis||Jacques P. Vallée
Resolving distance ambiguities towards 6.7 GHz methanol masers||J. D. Pandian,E. Momjian,P. F. Goldsmith
A New Mechanism for Radial Migration in Galactic Disks: Spiral-Bar Resonance Overlap||I. Minchev,B. Famaey
The Milky Way spiral structure parameters from data on masers||
The Milky Way disk||
New concepts and modeling strategies to design and evaluate photo-electro-catalysts based on transition metal oxides||Peilin Liao,Emily A. Carter
Magnetism in C- or N-doped MgO and ZnO: A Density Functional Study of Impurity Pairs||Wu H,Stroppa A,Sakong S,Picozzi S,Scheffler M
Evidence of oxygen vacancy induced room temperature ferromagnetism in solvothermally synthesized undoped TiO2 nanoribbons||Santara B,Giri PK,Imakita K,Fujii M
Heavily Doped Semiconductor Nanocrystal Quantum Dots||David Mocatta,Uri Banin
Light-emitting diodes by band-structure engineering in van der Waals heterostructures||Withers F,Del PozoZamudio O,Mishchenko A,Rooney AP,Gholinia A
Broad Family of Carbon Nanoallotropes：Classification, Chemistry, and Applications of Fullerenes, Carbon Dots, Nanotubes, Graphene, Nanodiamonds, and Combined Superstructures||Georgakilas V,Perman JA,Tucek J,Zboril R
Graphdiyne and graphyne: from theoretical predictions to practical construction||Li Yongjun,Xu Liang,Liu Huibiao,Li Yuliang
Pressure-induced semiconducting to metallic transition in multilayered molybdenum disulphide||Avinash P. Nayak,Swastibrata Bhattacharyya,Jie Zhu,Jin Liu,Xiang Wu
Photochromic organic–inorganic hybrid materials||Pardo R,Zayat M,Levy D
Novel Tb-MOF Embedded with Viologen Species for Multi- Photofunctionality: Photochromism, Photomodulated Fluorescence, and Luminescent pH Sensing||HaiYang Li,YongLi Wei,XiYan Dong,ShuangQuan Zang,Thomas C. W. Mak
Methylviologen-templated layered bimetal phosphate: a multifunctional X-ray-induced photochromic material||Junbiao Wu,Chunyao Tao,Yi Li,Yan Yan,Jiyang Li
Luminescent Functional Metal-Organic Frameworks||Yuanjing Cui,Yanfeng Yue,Guodong Qian,Banglin Chen
《Metal-Organic Frameworks for Photonics Applications》||
Defect-related luminescent materials: synthesis, emission properties and applications||Zhang C,Lin J
Efficient and tunable white-light emission of metal–organic frameworks by iridium-complex encapsulation||ChunYi Sun,XinLong Wang,Xiao Zhang,Chao Qin,Peng Li
Emerging Multifunctional Metal–Organic Framework Materials||Li B,Wen HM,Cui Y,Zhou W,Qian G
Thermodynamic Correlation Analysis:? Hydration and Perturbation Sensitivity of RNA Secondary Structures||Peter Strazewski †
Effect of Hydrogen Bonds on pKa Values: Importance of Networking||Shokri A,Abedin A,Fattahi A,Kass SR
One-Electron and Two-Electron Transfers in Electrochemistry and Homogeneous Solution Reactions||Evans DH
Computational Studies of Synthetically Relevant Homogeneous Organometallic Catalysis Involving Ni, Pd, Ir, and Rh: An Overview of Commonly Employed DFT Methods and Mechanistic Insights||
The role of organometallic copper(III) complexes in homogeneous catalysis||
A Free-Radical-Promoted Stereospecific Decarboxylative Silylation of α,β-Unsaturated Acids with Silanes||
Decarboxylative coupling reactions: a modern strategy for C–C-bond formation||
Copper-Catalyzed Oxytrifluoromethylation of Unactivated Alkenes||Zhu R,Buchwald SL
Highly Emissive Platinum(II) Metallacages||Xuzhou Yan,Timothy R. Cook,Pi Wang,Feihe Huang,Peter J. Stang
Glycodynamers: dynamic polymers bearing oligosaccharides residues-generation, structure, pohysicochemical, component exchange, and Lectin binding properties||
Ruthenium-catalyzed azide alkyne cycloaddition reactions: scope, mechanism, and applications||Johansson JR,BekeSomfai T,Said Stålsmeden A,Kann N
Biological applications of supramolecular assemblies designed for excitation energy transfer||Peng HQ,Niu LY,Chen YZ,Wu LZ,Tung CH
Design Amphiphilic Dipolar Pi-System for Stimuli-responsive Luminescent Materials Using Metastable States||Yagai S,Okamura S,Nakano Y,Yamauchi M,Kishikawa K
Optical Chemosensors and Reagents to Detect Explosives||Salinas Y,Martínez-Máñez R,Marcos MD,Sancenón F,Costero AM
A Mechanically Controlled Indicator Displacement Assay||Sakakibara Keita,Joyce Leo A,Mori Taizo,Fujisawa Takuya,Shabbir Shagufta H
Fluorescence Turn-On Chemosensor for Highly Selective and Sensitive Detection and Bioimaging of Al3  in Living Cells Based on Ion-Induced Aggregation||Shilang Gui,Yanyan Huang,Fang Hu,Yulong Jin,Guanxin Zhang
Imaging Mobile Zinc in Biology||Elisa Tomat,Stephen J. Lippard
Fluorescent Chemosensors for Zn2||Xu Z,Yoon J,Spring DR
Chemical Probes for Molecular Imaging and Detection of Hydrogen Sulfide and Reactive Sulfur Species in Biological Systems||Lin VS,Chen W,Xian M,Chang CJ
Metal-Organic Framework Materials as Chemical Sensors||Lauren E. Kreno,Kirsty Leong,Omar K. Farha,Mark Allendorf,Richard P. Van Duyne
Chemical Sensors Based on Polymer Composites with Carbon Nanotubes and Graphene: the Role of the Polymer||Horacio J. Salavagione,Ana M. DíezPascual,Eduardo Lázaro,Soledad Vera,Marián A. GómezFatou
Ferritin: A Versatile Building Block for Bionanotechnology||Jutz G,van Rijn P,Santos Miranda B,Böker A
In vitro Cancer Chemotherapeutic Activity of 1,10-Phenanthroline (phen), [Ag2(phen)3(mal)].2H2O, [Cu(phen)2(mal)].2H2O and [Mn(phen)2(mal)].2H2O (malH2 = malonic acid) Using Human Cancer Cells||
Multinuclear Non-Heme Iron Complexes for Double-Strand DNA Cleavage||Megens RP,van den Berg TA,de Bruijn AD,Feringa BL,Roelfes G
Grains and grain boundaries in single-layer graphene atomic patchwork quilts||Huang PY,RuizVargas CS,van der Zande AM,Whitney WS,Levendorf MP
Molecularly-mediated assemblies of plasmonic nanoparticles for Surface-Enhanced Raman Spectroscopy applications||Luca Guerrini,Duncan Graham
Controlled synthesis of single-chirality carbon nanotubes||Sanchez-Valencia JR,Dienel T,Gröning O,Shorubalko I,Mueller A
Nano-Bioelectronics||
Carbon Nanomaterials for Biological Imaging and Nanomedicinal Therapy||Hong G,Diao S,Antaris AL,Dai H
Graphene oxide as a chemically tunable platform for optical applications||Loh KP,Bao Q,Eda G,Chhowalla M
Graphene-based semiconductor photocatalysts||
Graphene-Supported Nanoelectrocatalysts for Fuel Cells: Synthesis, Properties, and Applications||Minmin Liu,Ruizhong Zhang,Wei Chen
Iron (III) Corroles and Porphyrins as Superior Catalysts for the Reactions of Diazoacetates with Nitrogen- or Sulfur-Containing Nucleophilic Substrates: Synthetic Uses and Mechanistic Insights||Aviv I,Gross Z
Synthesis and Applications of tert-Butanesulfinamide||Robak MT,Herbage MA,Ellman JA
Multicomponent reactions: advanced tools for sustainable organic synthesis||
Complete Field Guide to Asymmetric BINOL-Phosphate Derived Br?sted Acid and Metal Catalysis: History and Classification by Mode of Activation||
Synergistic catalysis: A powerful synthetic strategy for new reaction development||Anna E. Allen,David W. C. MacMillan
C2-Symmetric Chiral Bis(oxazoline) Ligands in Asymmetric Catalysis||Giovanni Desimoni,Giuseppe Faita,Karl Anker Joergensen
Modern Organic Synthesis with α.Diazocarbonyl Compounds||Alan Ford,Hugues Miel,Aoife Ring,Catherine N. Slattery,Anita R. Maguire
Importance of Ligand Exchanges in Pd(II)-Br?nsted Acid Cooperative Catalytic Approach to Spirocyclic Rings||Garima Jindal,Raghavan B. Sunoj
New Reactivity of the Uranyl(VI) Ion||Baker RJ
Giant Regular Polyhedra from Calixarene Carboxylates and Uranyl||Sara Pasquale,Sara Sattin,Eduardo C. EscuderoAdán,Marta MartínezBelmonte,Javier de Mendoza
Hollow Nanocrystals through the Nanoscale Kirkendall Effect||Wenshou Wang,Michael Dahl,Yadong Yin
Hollow Micro-/Nanostructures: Synthesis and Applications||
Decamethyldizincocene, a Stable Compound of Zn(I) with a Zn–Zn Bond||Resa I,Carmona E,GutierrezPuebla E,Monge A
Zinc-Zinc Bonds: A New Frontier||Gerard Parkin
Strong Correlations in Highly Electron-Doped Zn(II)-DNA Complexes||Aleš Omerzu,Bernarda Anželak,Iztok Turel,Janez Štrancar,Anton Potočnik
Au@TiO2 Yolk–shell Hollow Spheres for Plasmon Induced Photocatalytic Reduction of CO2 to Solar Fuel via a Local Electromagnetic Field||Tu W,Zhou Y,Li H,Li P,Zou Z
Chiral recognition at the air–water||Katsuhiko Ariga,Tsuyoshi Michinobu,Takashi Nakanishi,Jonathan P. Hill
Interfacial molecular recognition of non-surface-active species at Langmuir monolayers||D. Vollhardt
Spontaneous resolution, whence and whither: from enantiomorphic solids to chiral liquid crystals, monolayers and macro- and supra-molecular polymers and assemblies||PérezGarcía L,Amabilino DB
All Wound Up||
Molecular recognition in chiral and non-chiral amphiphilic self-assemblies at interfaces||Isabelle Weissbuch,Leslie Leiserowitz,Meir Lahav
Optical chirality sensing using macrocycles,synthetic and supramolecular oligomers/polymers, and nanoparticle based sensors||Chen Z,Wang Q,Wu X,Li Z,Jiang YB
Nanotubes Self-Assembled from Amphiphilic Molecules via Helical Intermediates||Thomas G. Barclay,Kristina Constantopoulos,Janis Matisons
Self-assembling yarn shows its strength||
Measuring Single Small Molecule Binding via Rupture Force of a Split Aptamer||Nguyen TH,Steinbock LJ,Butt HJ,Helm M,Berger R
Fluorescent DNA-based enzyme sensors||Dai N,Kool ET
Functional Nucleic Acid Sensors||
Temperature-Induced Structural Phase Transitions in a Two- Dimensional Self-Assembled Network/||Blunt MO,Adisoejoso J,Tahara K,Katayama K,Van der Auweraer M
Molecularly Resolved Images of Peptide-Functionalized Gold Surfaces by Scanning Tunneling Microscopy||Raigoza AF,Webb LJ
Spatiotemporal Dynamics of the BRI1 Receptor and its Regulation by Membrane Microdomains in Living Arabidopsis Cells||Wang,Hong,Xueqin,Tong,Chen
Plant Nanobionics Approach to Augment Photosynthesis and Biochemical Sensing||Giraldo JP,Landry MP,Faltermeier SM,McNicholas TP,Iverson NM
The Living Scar - Cardiac Fibroblasts and the Injured Heart||RogZielinska EA,Norris RA,Kohl P,Markwald R
Magnetic Iron Oxide Nanoparticles: Synthesis, Stabilization, Vectorization, Physicochemical Characterizations, and Biological Applications||Laurent S,Forge D,Port M,Roch A,Robic C
Magnetic Nanoparticles: Synthesis, Protection, Functionalization, and Application||An-Hui Lu Dr,E.&#x ;L. Salabas Dr,Ferdi Schüth Prof.&#x
PEGylated Inorganic Nanoparticles||
Inorganic Nanoparticles for MRI Contrast Agents||Na Hyon Bin,Song In Chan,Hyeon Taeghwan
Chemical Design of Nanoparticle Probes for High-Performance Magnetic Resonance Imaging||Jun YW,Lee JH,Cheon J
Aqueous Synthesis of Glutathione-Capped ZnSe and Zn1–xCdxSe Alloyed Quantum Dots||Zheng Y,Yang Z,Ying J.&thinsp;Y
Recent Progress on Silica Coating of Nanoparticles and Related Nanomaterials||GuerreroMartínez A,PérezJuste J,LizMarzán LM
Designer Polymer–Quantum Dot Architectures||Nikodem Tomczak,Dominik Jańczewski,Mingyong Han,G. Julius Vancso
Highly Enantioselective Hydrogenation of Quinolines Using Phosphine-Free Chiral Cationic Ruthenium Catalysts: Scope, Mechanism, and Origin of Enantioselectivity||
Asymmetric Hydrogenation of Isoquinolinium Salts Catalyzed by Chiral Iridium Complexes: Direct Synthesis for Optically Active 1,2,3,4-Tetrahydroisoquinolines||Iimuro Atsuhiro,Yamaji Kenta,Kandula Sathaiah,Nagano Takuto,Kita Yusuke
Enantioselective Hydrogenation of Isoquinolines||Zhao D,Glorius F
Sequential C-H Arylation and Enantioselective Hydrogenation Enables Ideal Asymmetric Entry to the Indenopiperidine Core of an 11β-HSD?1 Inhibitor||Xudong Wei,Bo Qu,Xingzhong Zeng,Jolaine Savoie,Keith R. Fandrick
Highly Diastereo- and Enantioselective CuH-Catalyzed Synthesis of 2,3-Disubstituted Indolines||Erhad Ascic,Stephen L. Buchwald
Transfer Hydrogenation with Hantzsch Esters and Related Organic Hydride Donors||Zheng Chao,You Shu‐Li
Relay Catalysis Enables Hydrogen Gas to Participate in Asymmetric Organocatalytic Hydrogenation||Shi F,Gong LZ
The Coordination Chemistry of Organo-hydride Donors: New Prospects for Efficient Multi-electron Reduction||McSkimming Alex,Colbran Stephen B
Asymmetric Dearomatization of Indoles through a Michael/Friedel-Crafts-Type Cascade To Construct Polycyclic Spiroindolines||Zhao Xiaohu,Liu Xiaohua,Mei Hongjiang,Guo Jing,Lin Lili
Synthesis of Spirocyclic Indolenines||James MJ,O'Brien P,Taylor RJ,Unsworth WP
Asymmetric synthesis of N,O-heterocycles via enantioselective iridium-catalysed intramolecular allylic amidation||
